ts,open,high,low,close,volume
2023-06-26,13.43,13.68,12.95,13.15,1353300.0
2023-06-27,13.15,13.47,13.09,13.2,578537.0
2023-06-28,13.2,13.21,12.05,12.33,1679519.0
2023-06-29,12.34,12.95,12.26,12.67,1145741.0
2023-06-30,12.68,13.33,12.08,13.02,2825473.0
2023-07-01,13.03,13.15,12.83,13.0,840228.0
2023-07-02,13.0,13.22,12.7,13.11,1466323.0
2023-07-03,13.12,13.51,13.07,13.25,1682849.0
2023-07-04,13.24,13.41,12.99,13.03,1556667.0
2023-07-05,13.04,13.15,12.45,12.66,2090710.0
2023-07-06,12.67,13.11,12.22,12.35,1559192.0
2023-07-07,12.35,12.75,12.23,12.74,1126511.0
2023-07-08,12.74,13.88,12.72,13.64,3803736.0
2023-07-09,13.63,14.2,13.56,13.58,3295970.0
2023-07-10,13.57,13.84,13.15,13.36,2102901.0
2023-07-11,13.37,13.69,13.13,13.27,1456215.0
2023-07-12,13.27,13.37,12.84,13.02,1278212.0
2023-07-13,13.02,14.2,12.88,14.11,4217160.0
2023-07-14,14.12,15.99,14.01,14.63,9790316.0
2023-07-15,14.62,15.35,14.41,14.84,2648559.0
2023-07-16,14.85,14.93,14.16,14.28,1514163.0
2023-07-17,14.28,14.62,13.83,14.4,1719527.0
2023-07-18,14.39,14.59,13.6,13.81,1849654.0
2023-07-19,13.81,14.28,13.75,13.98,1390659.0
2023-07-20,13.99,14.42,13.66,13.86,1796518.0
2023-07-21,13.86,14.06,13.72,13.98,1027589.0
2023-07-22,13.98,14.07,13.29,13.52,1512310.0
2023-07-23,13.52,13.75,13.39,13.53,666457.0
2023-07-24,13.54,13.59,12.65,13.1,2799109.0
2023-07-25,13.1,13.56,13.04,13.34,1940995.0
2023-07-26,13.34,13.45,13.07,13.26,1445217.0
2023-07-27,13.26,13.42,13.01,13.16,794366.0
2023-07-28,13.16,13.3,13.0,13.22,606833.0
2023-07-29,13.22,13.29,13.15,13.22,233983.0
2023-07-30,13.23,13.41,12.89,13.12,850251.0
2023-07-31,13.11,13.28,12.68,12.81,964852.0
2023-08-01,12.8,12.89,12.35,12.88,1328083.0
2023-08-02,12.88,12.96,12.4,12.54,1142053.0
2023-08-03,12.54,12.64,12.35,12.43,721462.0
2023-08-04,12.44,12.61,12.25,12.41,729791.0
2023-08-05,12.41,12.46,12.27,12.45,359687.0
2023-08-06,12.44,12.67,12.41,12.6,431039.0
2023-08-07,12.59,12.76,12.18,12.47,813357.0
2023-08-08,12.46,12.84,12.38,12.68,901632.0
2023-08-09,12.68,12.8,12.49,12.63,544208.0
2023-08-10,12.63,12.66,12.46,12.48,476755.0
2023-08-11,12.49,12.56,12.35,12.44,339768.0
2023-08-12,12.44,12.5,12.34,12.38,277918.0
2023-08-13,12.38,12.42,12.19,12.27,362328.0
2023-08-14,12.26,12.45,12.17,12.37,623861.0
2023-08-15,12.36,12.37,11.22,11.82,2064619.0
2023-08-16,11.82,11.86,11.04,11.37,1759280.0
2023-08-17,11.38,11.51,9.52,10.56,2773540.0
2023-08-18,10.55,10.99,10.52,10.8,1290018.0
2023-08-19,10.81,10.89,10.55,10.81,531455.0
2023-08-20,10.82,10.92,10.73,10.85,369969.0
2023-08-21,10.86,10.86,10.14,10.34,1168902.0
2023-08-22,10.34,10.37,9.69,10.13,1524247.0
2023-08-23,10.14,10.47,10.05,10.32,1073343.0
2023-08-24,10.33,10.354,9.964,10.118,1241152.0
2023-08-25,10.117,10.13,9.876,10.047,2142515.0
2023-08-26,10.047,10.132,10.004,10.092,792866.0
2023-08-27,10.093,10.279,10.066,10.202,1327662.0
2023-08-28,10.201,10.448,9.907,10.372,1844821.0
2023-08-29,10.371,11.219,10.325,10.813,4532314.0
2023-08-30,10.808,10.826,10.332,10.406,1413673.0
2023-08-31,10.406,10.549,9.803,9.983,2542577.0
2023-09-01,9.984,10.064,9.741,9.927,1258545.0
2023-09-02,9.926,9.967,9.753,9.911,610183.0
2023-09-03,9.913,9.994,9.816,9.874,598704.0
2023-09-04,9.875,10.05,9.665,9.806,776781.0
2023-09-05,9.806,9.969,9.64,9.913,750219.0
2023-09-06,9.914,10.053,9.735,9.944,1045532.0
2023-09-07,9.943,10.199,9.834,10.095,860140.0
2023-09-08,10.095,10.156,9.828,9.925,794247.0
2023-09-09,9.925,9.925,9.83,9.834,287788.0
2023-09-10,9.834,9.837,9.166,9.46,1863224.0
2023-09-11,9.462,9.512,9.035,9.235,1987359.0
2023-09-12,9.235,9.591,9.182,9.213,1972621.0
2023-09-13,9.213,9.567,9.099,9.291,1551100.0
2023-09-14,9.292,9.472,9.252,9.398,1137987.0
2023-09-15,9.399,9.526,9.18,9.425,1176849.0
2023-09-16,9.426,9.616,9.359,9.378,1043382.0
2023-09-17,9.376,9.379,9.004,9.095,1302323.0
2023-09-18,9.096,9.315,8.8,9.103,2164985.0
2023-09-19,9.104,9.308,9.038,9.21,1232209.0
2023-09-20,9.211,9.234,8.853,9.046,1715679.0
2023-09-21,9.046,9.111,8.758,8.819,1468062.0
2023-09-22,8.821,8.926,8.719,8.863,1032766.0
2023-09-23,8.865,8.986,8.827,8.901,850181.0
2023-09-24,8.904,9.048,8.734,8.778,1211178.0
2023-09-25,8.778,8.964,8.614,8.949,1291789.0
2023-09-26,8.95,9.071,8.85,9.047,1179633.0
2023-09-27,9.046,9.194,8.812,8.931,1855475.0
2023-09-28,8.931,9.355,8.91,9.269,1536691.0
2023-09-29,9.268,9.365,9.075,9.175,1388708.0
