ts,open,high,low,close,volume
2023-06-25 20:00:00,13.43,13.54,13.34,13.43,62821.0
2023-06-26 00:00:00,13.43,13.45,13.11,13.36,229609.0
2023-06-26 04:00:00,13.35,13.51,13.23,13.4,137410.0
2023-06-26 08:00:00,13.4,13.65,13.32,13.53,145131.0
2023-06-26 12:00:00,13.54,13.68,13.43,13.54,171603.0
2023-06-26 16:00:00,13.54,13.55,12.95,13.26,562351.0
2023-06-26 20:00:00,13.27,13.31,12.96,13.15,107196.0
2023-06-27 00:00:00,13.15,13.34,13.09,13.31,115032.0
2023-06-27 04:00:00,13.31,13.39,13.17,13.34,95711.0
2023-06-27 08:00:00,13.35,13.41,13.23,13.37,67040.0
2023-06-27 12:00:00,13.37,13.47,13.11,13.19,149819.0
2023-06-27 16:00:00,13.18,13.36,13.12,13.3,76311.0
2023-06-27 20:00:00,13.31,13.33,13.15,13.2,74624.0
2023-06-28 00:00:00,13.2,13.21,12.86,12.99,253557.0
2023-06-28 04:00:00,12.99,13.02,12.66,12.69,249148.0
2023-06-28 08:00:00,12.68,12.84,12.65,12.77,74779.0
2023-06-28 12:00:00,12.78,12.91,12.62,12.81,368147.0
2023-06-28 16:00:00,12.81,12.81,12.05,12.24,538105.0
2023-06-28 20:00:00,12.24,12.4,12.1,12.33,195783.0
2023-06-29 00:00:00,12.34,12.39,12.26,12.33,128897.0
2023-06-29 04:00:00,12.33,12.41,12.28,12.38,105967.0
2023-06-29 08:00:00,12.38,12.95,12.34,12.89,339200.0
2023-06-29 12:00:00,12.89,12.94,12.58,12.63,324300.0
2023-06-29 16:00:00,12.64,12.75,12.55,12.74,148907.0
2023-06-29 20:00:00,12.73,12.76,12.58,12.67,98470.0
2023-06-30 00:00:00,12.68,13.05,12.57,13.02,291478.0
2023-06-30 04:00:00,13.02,13.26,12.96,13.07,257057.0
2023-06-30 08:00:00,13.08,13.25,13.05,13.23,144042.0
2023-06-30 12:00:00,13.23,13.33,12.08,12.59,1542847.0
2023-06-30 16:00:00,12.61,13.1,12.48,12.9,467326.0
2023-06-30 20:00:00,12.9,13.09,12.87,13.02,122723.0
2023-07-01 00:00:00,13.03,13.15,12.97,13.01,207122.0
2023-07-01 04:00:00,13.02,13.03,12.83,12.95,160856.0
2023-07-01 08:00:00,12.95,13.01,12.88,12.96,122956.0
2023-07-01 12:00:00,12.95,13.09,12.88,12.88,177171.0
2023-07-01 16:00:00,12.88,12.97,12.86,12.93,105010.0
2023-07-01 20:00:00,12.93,13.01,12.9,13.0,67113.0
2023-07-02 00:00:00,13.0,13.0,12.7,12.74,245845.0
2023-07-02 04:00:00,12.74,12.9,12.7,12.88,115581.0
2023-07-02 08:00:00,12.89,13.07,12.85,13.01,114973.0
2023-07-02 12:00:00,13.01,13.1,12.81,13.0,453964.0
2023-07-02 16:00:00,13.01,13.1,12.9,13.0,233620.0
2023-07-02 20:00:00,13.0,13.22,12.98,13.11,302340.0
2023-07-03 00:00:00,13.12,13.51,13.07,13.4,278029.0
2023-07-03 04:00:00,13.4,13.46,13.07,13.28,506156.0
2023-07-03 08:00:00,13.28,13.36,13.2,13.23,222356.0
2023-07-03 12:00:00,13.23,13.3,13.1,13.27,342166.0
2023-07-03 16:00:00,13.26,13.4,13.1,13.3,240227.0
2023-07-03 20:00:00,13.3,13.33,13.12,13.25,93915.0
2023-07-04 00:00:00,13.24,13.35,13.13,13.34,238598.0
