ts,open,high,low,close,volume
2023-06-26,238.91,241.36,233.26,236.0,303286.95
2023-06-27,235.99,240.92,234.47,237.41,186288.31
2023-06-28,237.4,237.51,220.3,230.54,392923.02
2023-06-29,230.55,236.78,230.41,233.13,188410.85
2023-06-30,233.14,241.9,230.17,240.44,454828.1
2023-07-01,240.44,249.31,239.95,247.86,257902.38
2023-07-02,247.86,248.69,242.41,246.56,243612.08
2023-07-03,246.56,258.75,245.0,246.52,378006.44
2023-07-04,246.53,246.87,240.15,242.47,139722.25
2023-07-05,242.46,243.9,235.0,238.88,190209.34
2023-07-06,238.88,244.41,231.0,231.8,238377.77
2023-07-07,231.8,236.26,230.52,235.5,154606.54
2023-07-08,235.5,237.48,234.0,236.26,85209.55
2023-07-09,236.25,237.12,232.84,233.99,83553.09
2023-07-10,233.99,246.45,231.01,246.06,451322.11
2023-07-11,246.05,249.54,244.28,248.4,231587.11
2023-07-12,248.41,250.21,242.13,243.66,194296.47
2023-07-13,243.67,258.44,242.47,256.27,427541.43
2023-07-14,256.22,261.6,241.42,247.73,413792.99
2023-07-15,247.76,252.04,246.74,251.0,166389.04
2023-07-16,250.94,251.74,241.11,241.75,152244.89
2023-07-17,241.76,244.99,238.62,244.35,329721.75
2023-07-18,244.32,246.71,237.15,240.42,283255.49
2023-07-19,240.4,244.18,239.81,240.94,145141.29
2023-07-20,240.94,245.18,240.3,242.89,170702.91
2023-07-21,242.86,245.57,242.17,243.74,89147.18
2023-07-22,243.74,244.89,240.0,241.1,86902.45
2023-07-23,241.09,244.01,240.49,242.41,55681.86
2023-07-24,242.41,243.09,233.28,238.94,157113.07
2023-07-25,238.94,239.82,236.12,237.73,79428.07
2023-07-26,237.73,240.5,236.37,238.97,88211.35
2023-07-27,238.92,244.69,238.39,240.71,96511.69
2023-07-28,240.72,242.98,239.74,241.81,59645.38
2023-07-29,241.8,242.86,241.17,242.46,25533.57
2023-07-30,242.46,243.89,239.58,242.61,67831.16
2023-07-31,242.6,244.63,240.47,240.99,81204.19
2023-08-01,240.99,247.86,237.11,247.74,325725.29
2023-08-02,247.72,248.68,235.0,240.51,297546.95
2023-08-03,240.5,242.14,238.17,240.9,92276.07
