ts,open,high,low,close,volume
2023-06-25 16:30:00,239.48,239.68,239.01,239.29,3067.57
2023-06-25 17:00:00,239.3,239.65,238.48,238.55,3583.46
2023-06-25 17:30:00,238.6,238.7,237.34,237.55,6776.86
2023-06-25 18:00:00,237.54,237.59,236.48,237.31,6082.21
2023-06-25 18:30:00,237.26,238.05,236.93,237.94,3460.15
2023-06-25 19:00:00,237.97,238.27,237.57,237.81,2130.62
2023-06-25 19:30:00,237.82,238.09,237.13,238.09,2548.13
2023-06-25 20:00:00,238.09,238.79,237.86,237.99,2713.16
2023-06-25 20:30:00,237.99,238.16,236.67,237.24,2629.69
2023-06-25 21:00:00,237.24,238.23,237.11,238.23,1924.95
2023-06-25 21:30:00,238.19,238.31,237.85,237.91,1549.35
2023-06-25 22:00:00,237.89,239.29,237.38,239.29,2249.42
2023-06-25 22:30:00,239.29,239.37,238.93,239.0,1904.77
2023-06-25 23:00:00,239.01,239.18,238.45,238.86,1679.03
2023-06-25 23:30:00,238.83,239.0,238.22,238.86,1748.6
2023-06-26 00:00:00,238.91,239.45,237.94,238.96,7355.71
2023-06-26 00:30:00,239.0,239.27,236.27,236.53,8456.64
2023-06-26 01:00:00,236.49,236.74,233.75,236.42,26391.97
2023-06-26 01:30:00,236.41,236.71,234.77,235.04,8203.83
2023-06-26 02:00:00,235.03,235.4,233.48,234.19,6839.13
2023-06-26 02:30:00,234.18,236.13,234.09,236.04,7502.49
2023-06-26 03:00:00,235.92,236.36,235.26,236.16,4045.85
2023-06-26 03:30:00,236.16,236.62,235.95,236.37,3614.5
2023-06-26 04:00:00,236.37,236.46,235.41,235.62,2441.79
2023-06-26 04:30:00,235.69,236.4,235.57,236.35,2366.45
2023-06-26 05:00:00,236.38,236.39,234.8,235.34,3152.66
2023-06-26 05:30:00,235.33,236.19,234.7,236.05,2852.24
2023-06-26 06:00:00,236.01,236.78,235.46,236.42,4856.03
2023-06-26 06:30:00,236.41,237.91,236.28,237.79,8046.37
2023-06-26 07:00:00,237.79,238.71,237.35,237.5,7242.9
2023-06-26 07:30:00,237.51,237.88,236.58,237.69,7631.75
2023-06-26 08:00:00,237.69,238.1,236.96,237.95,4060.62
2023-06-26 08:30:00,237.95,238.54,237.35,238.46,4595.77
2023-06-26 09:00:00,238.47,238.87,237.56,238.19,6809.36
2023-06-26 09:30:00,238.17,238.35,237.11,237.43,3539.27
2023-06-26 10:00:00,237.43,237.56,235.65,236.82,8904.65
2023-06-26 10:30:00,236.89,237.54,236.57,236.86,4135.97
2023-06-26 11:00:00,236.85,237.8,236.72,237.31,3975.28
2023-06-26 11:30:00,237.31,238.32,237.24,237.97,3504.61
2023-06-26 12:00:00,237.96,238.2,237.38,237.59,2175.09
2023-06-26 12:30:00,237.63,238.33,237.32,238.32,4311.34
2023-06-26 13:00:00,238.32,239.54,238.26,239.44,10285.58
2023-06-26 13:30:00,239.46,241.32,239.19,241.19,17244.82
2023-06-26 14:00:00,241.2,241.36,238.89,239.13,9920.5
2023-06-26 14:30:00,239.14,239.2,237.0,238.06,14664.47
2023-06-26 15:00:00,238.08,238.35,237.24,238.05,6727.75
2023-06-26 15:30:00,238.04,239.08,237.93,238.49,6913.06
2023-06-26 16:00:00,238.48,238.75,237.55,237.67,2774.93
2023-06-26 16:30:00,237.67,238.01,233.59,235.2,30232.59
2023-06-26 17:00:00,235.21,235.81,233.91,235.62,8144.86
2023-06-26 17:30:00,235.62,235.9,234.57,234.71,3642.73
2023-06-26 18:00:00,234.7,235.5,234.35,235.44,3639.9
2023-06-26 18:30:00,235.42,236.57,235.33,236.37,3808.39
2023-06-26 19:00:00,236.37,236.44,235.56,235.86,3208.56
2023-06-26 19:30:00,235.87,236.83,235.65,236.38,4027.23
2023-06-26 20:00:00,236.38,236.54,235.9,235.9,1372.35
2023-06-26 20:30:00,235.9,235.9,234.99,235.08,3382.27
2023-06-26 21:00:00,235.08,235.5,234.72,235.22,2566.68
2023-06-26 21:30:00,235.21,235.32,234.0,234.3,1447.48
2023-06-26 22:00:00,234.31,235.19,233.26,235.03,4527.44
2023-06-26 22:30:00,235.02,236.29,235.02,236.28,3482.72
2023-06-26 23:00:00,236.27,236.45,235.3,236.22,2770.18
2023-06-26 23:30:00,236.19,236.35,235.61,236.0,1490.19
2023-06-27 00:00:00,235.99,236.1,235.34,235.73,2929.23
2023-06-27 00:30:00,235.76,236.02,235.22,235.62,3131.8
2023-06-27 01:00:00,235.63,235.74,234.47,235.74,2696.91
2023-06-27 01:30:00,235.73,236.99,235.56,236.18,5959.51
2023-06-27 02:00:00,236.19,236.74,236.04,236.71,4295.45
2023-06-27 02:30:00,236.7,238.21,236.67,238.16,4993.87
2023-06-27 03:00:00,238.12,238.33,237.43,237.95,3809.23
2023-06-27 03:30:00,237.94,238.21,237.37,237.73,2203.89
2023-06-27 04:00:00,237.74,238.4,237.2,238.19,4812.86
2023-06-27 04:30:00,238.19,238.82,238.05,238.38,5109.07
2023-06-27 05:00:00,238.38,238.39,237.26,237.34,7257.07
2023-06-27 05:30:00,237.35,237.71,236.67,237.44,3027.58
2023-06-27 06:00:00,237.48,237.67,236.51,236.75,2566.93
2023-06-27 06:30:00,236.75,237.9,236.71,237.9,2278.43
2023-06-27 07:00:00,237.88,238.67,237.73,238.13,3506.05
2023-06-27 07:30:00,238.18,239.2,237.99,238.75,3829.38
2023-06-27 08:00:00,238.74,239.02,238.26,238.64,2221.18
2023-06-27 08:30:00,238.62,238.72,238.07,238.3,3070.42
2023-06-27 09:00:00,238.28,238.49,237.75,238.33,2901.11
2023-06-27 09:30:00,238.36,239.02,238.12,238.73,2365.24
2023-06-27 10:00:00,238.74,240.06,238.54,238.61,10065.04
2023-06-27 10:30:00,238.59,239.68,238.59,239.58,2607.31
2023-06-27 11:00:00,239.58,239.64,238.67,238.8,2055.26
2023-06-27 11:30:00,238.8,239.57,238.66,239.14,3074.0
2023-06-27 12:00:00,239.16,239.27,238.68,238.97,2310.76
2023-06-27 12:30:00,238.96,239.89,238.49,239.75,2922.3
2023-06-27 13:00:00,239.76,239.84,238.24,238.79,4031.85
2023-06-27 13:30:00,238.8,239.53,238.59,239.49,3388.18
2023-06-27 14:00:00,239.49,240.92,238.52,239.77,16799.14
2023-06-27 14:30:00,239.79,240.35,238.98,239.16,3480.1
2023-06-27 15:00:00,239.17,239.4,237.93,238.34,8203.94
2023-06-27 15:30:00,238.37,238.7,237.18,237.78,7197.44
2023-06-27 16:00:00,237.77,238.69,237.64,238.48,4884.95
2023-06-27 16:30:00,238.56,239.4,238.3,239.37,3276.83
2023-06-27 17:00:00,239.34,239.82,238.79,239.34,6304.32
2023-06-27 17:30:00,239.3,239.61,238.87,239.09,3342.88
2023-06-27 18:00:00,239.08,239.33,238.74,239.03,2682.46
2023-06-27 18:30:00,239.02,239.16,238.84,238.89,1115.15
2023-06-27 19:00:00,238.89,239.15,238.7,238.87,1162.16
2023-06-27 19:30:00,238.86,239.18,238.71,238.71,1148.24
2023-06-27 20:00:00,238.8,239.18,238.36,238.42,2290.9
2023-06-27 20:30:00,238.43,238.94,238.37,238.56,2033.74
2023-06-27 21:00:00,238.61,238.77,238.04,238.25,5328.6
2023-06-27 21:30:00,238.24,238.95,238.16,238.88,1327.39
2023-06-27 22:00:00,238.87,239.12,238.07,238.25,1800.99
2023-06-27 22:30:00,238.25,238.47,237.44,237.54,2614.59
2023-06-27 23:00:00,237.53,237.66,237.06,237.06,5171.93
2023-06-27 23:30:00,237.09,237.63,236.78,237.41,2702.65
2023-06-28 00:00:00,237.4,237.51,235.09,235.77,9122.84
2023-06-28 00:30:00,235.73,236.08,234.52,235.98,9483.36
2023-06-28 01:00:00,235.96,236.55,235.35,235.84,4200.0
2023-06-28 01:30:00,235.84,235.92,235.14,235.57,2651.89
2023-06-28 02:00:00,235.56,235.92,235.23,235.61,2145.83
2023-06-28 02:30:00,235.59,235.62,234.0,234.44,5297.53
2023-06-28 03:00:00,234.43,235.08,234.26,235.03,2639.69
2023-06-28 03:30:00,235.02,235.5,234.74,235.5,3227.27
2023-06-28 04:00:00,235.49,235.49,234.68,234.81,2046.09
2023-06-28 04:30:00,234.81,235.75,234.81,235.69,2767.42
2023-06-28 05:00:00,235.66,236.3,234.87,235.86,3803.96
2023-06-28 05:30:00,235.85,236.33,235.25,235.91,5726.89
2023-06-28 06:00:00,235.87,235.92,234.63,235.04,5488.95
2023-06-28 06:30:00,235.02,235.65,234.69,234.83,4960.62
2023-06-28 07:00:00,234.84,235.22,234.03,234.41,7760.07
2023-06-28 07:30:00,234.46,234.68,230.31,232.61,40451.9
2023-06-28 08:00:00,232.62,233.51,232.13,232.7,16064.99
2023-06-28 08:30:00,232.7,232.7,231.6,232.3,5666.08
2023-06-28 09:00:00,232.24,233.35,232.02,233.28,5466.3
2023-06-28 09:30:00,233.26,233.86,232.95,233.62,5980.02
2023-06-28 10:00:00,233.62,233.93,233.17,233.77,3707.93
2023-06-28 10:30:00,233.76,234.55,233.69,234.05,4347.17
2023-06-28 11:00:00,234.05,234.17,233.48,233.52,2791.37
2023-06-28 11:30:00,233.52,233.79,233.09,233.37,2920.14
2023-06-28 12:00:00,233.32,233.67,232.53,233.65,5049.05
2023-06-28 12:30:00,233.63,233.72,231.79,232.04,11210.98
2023-06-28 13:00:00,232.05,232.82,231.42,232.5,6568.77
2023-06-28 13:30:00,232.51,232.71,231.23,232.13,7705.37
2023-06-28 14:00:00,232.13,233.28,231.71,233.2,4900.78
2023-06-28 14:30:00,233.2,236.52,232.92,234.5,18466.45
2023-06-28 15:00:00,234.53,235.19,234.18,234.6,4083.22
2023-06-28 15:30:00,234.61,235.2,234.48,235.06,5436.91
2023-06-28 16:00:00,235.05,235.44,234.08,234.21,6346.49
2023-06-28 16:30:00,234.19,234.43,233.95,234.0,2833.77
2023-06-28 17:00:00,234.0,234.17,232.41,233.52,6595.63
2023-06-28 17:30:00,233.53,233.68,231.62,231.84,9399.75
2023-06-28 18:00:00,231.83,233.33,231.68,233.21,2423.64
2023-06-28 18:30:00,233.21,233.32,232.31,232.38,1370.43
2023-06-28 19:00:00,232.39,233.13,230.01,230.24,11818.21
2023-06-28 19:30:00,230.24,230.58,220.3,228.16,81697.81
2023-06-28 20:00:00,228.11,228.89,227.17,228.57,10068.49
2023-06-28 20:30:00,228.58,229.93,228.48,229.22,8019.02
2023-06-28 21:00:00,229.16,229.45,228.83,229.31,4027.92
2023-06-28 21:30:00,229.31,230.78,229.26,230.62,2668.79
2023-06-28 22:00:00,230.62,232.57,230.51,231.37,11967.86
2023-06-28 22:30:00,231.35,231.45,230.69,230.97,4132.08
2023-06-28 23:00:00,230.97,231.7,230.65,230.99,3518.06
2023-06-28 23:30:00,231.0,231.21,230.19,230.54,3895.23
2023-06-29 00:00:00,230.55,231.95,230.41,231.9,3632.96
2023-06-29 00:30:00,231.92,232.18,231.08,231.55,5224.36
2023-06-29 01:00:00,231.52,233.11,231.43,232.5,5636.55
2023-06-29 01:30:00,232.57,232.65,231.23,231.5,4332.89
2023-06-29 02:00:00,231.5,232.12,231.38,232.02,2514.96
2023-06-29 02:30:00,232.01,232.24,231.45,231.98,2619.33
2023-06-29 03:00:00,231.98,233.86,231.88,233.32,4613.03
2023-06-29 03:30:00,233.32,233.48,232.78,233.05,2990.19
2023-06-29 04:00:00,233.06,233.18,232.44,232.53,3344.48
2023-06-29 04:30:00,232.56,233.02,232.32,232.59,3043.2
2023-06-29 05:00:00,232.56,233.17,232.51,232.68,1877.38
2023-06-29 05:30:00,232.68,232.68,232.11,232.32,2857.2
2023-06-29 06:00:00,232.31,232.88,232.22,232.22,2967.86
2023-06-29 06:30:00,232.22,233.42,232.19,233.18,4036.42
2023-06-29 07:00:00,233.19,234.19,232.97,233.54,7168.57
2023-06-29 07:30:00,233.55,233.64,233.2,233.38,3126.76
2023-06-29 08:00:00,233.39,233.71,233.26,233.42,1626.29
2023-06-29 08:30:00,233.42,233.47,232.92,233.33,2991.12
2023-06-29 09:00:00,233.33,234.36,233.09,233.96,4292.44
2023-06-29 09:30:00,233.96,234.07,233.28,233.6,2582.77
2023-06-29 10:00:00,233.61,235.22,233.37,234.72,8298.76
2023-06-29 10:30:00,234.73,235.34,234.44,234.73,7665.37
2023-06-29 11:00:00,234.74,235.6,234.51,235.41,3735.18
2023-06-29 11:30:00,235.42,235.53,234.77,235.44,4068.16
2023-06-29 12:00:00,235.44,236.62,235.15,236.53,5994.22
2023-06-29 12:30:00,236.53,236.53,235.07,235.2,6624.63
2023-06-29 13:00:00,235.2,236.78,235.11,235.69,8593.95
2023-06-29 13:30:00,235.71,236.03,234.16,234.79,8120.49
2023-06-29 14:00:00,234.8,235.23,234.0,234.21,5113.69
2023-06-29 14:30:00,234.21,234.37,232.45,232.86,10112.03
2023-06-29 15:00:00,232.88,233.75,232.55,233.73,5220.06
2023-06-29 15:30:00,233.71,233.88,233.07,233.32,3719.67
2023-06-29 16:00:00,233.31,234.4,233.21,233.84,2970.53
2023-06-29 16:30:00,233.79,233.97,233.12,233.18,2159.9
2023-06-29 17:00:00,233.17,233.98,232.55,233.97,5191.43
2023-06-29 17:30:00,233.97,234.14,232.9,233.03,4338.47
2023-06-29 18:00:00,233.02,233.74,232.81,233.69,1996.34
2023-06-29 18:30:00,233.68,234.06,233.51,233.51,1582.62
2023-06-29 19:00:00,233.54,233.8,233.09,233.24,1921.96
2023-06-29 19:30:00,233.25,234.13,233.25,233.89,3194.01
2023-06-29 20:00:00,233.87,234.12,232.22,232.8,7443.55
2023-06-29 20:30:00,232.84,233.0,232.37,232.66,1632.9
2023-06-29 21:00:00,232.65,233.3,232.39,233.26,955.65
2023-06-29 21:30:00,233.27,233.45,233.08,233.4,957.8
2023-06-29 22:00:00,233.39,233.76,233.31,233.43,1365.29
2023-06-29 22:30:00,233.43,233.68,232.83,233.17,936.64
2023-06-29 23:00:00,233.18,233.48,232.53,233.47,1575.73
2023-06-29 23:30:00,233.48,233.93,233.03,233.13,1443.06
2023-06-30 00:00:00,233.14,234.36,232.6,233.89,5207.66
2023-06-30 00:30:00,233.88,234.34,232.71,232.99,3409.8
2023-06-30 01:00:00,232.95,233.33,231.59,233.18,5213.75
2023-06-30 01:30:00,233.14,233.4,232.55,233.35,3457.02
2023-06-30 02:00:00,233.36,235.16,233.3,234.66,7072.4
2023-06-30 02:30:00,234.63,235.92,234.39,235.69,7036.58
2023-06-30 03:00:00,235.69,237.89,235.49,237.78,14109.43
2023-06-30 03:30:00,237.77,238.53,236.32,236.75,11106.62
2023-06-30 04:00:00,236.76,237.8,236.29,237.16,5465.18
2023-06-30 04:30:00,237.12,241.03,237.03,238.45,38342.71
2023-06-30 05:00:00,238.45,239.36,237.45,238.31,44722.91
2023-06-30 05:30:00,238.32,238.37,236.33,237.18,11392.45
2023-06-30 06:00:00,237.19,237.74,236.4,236.9,5354.65
2023-06-30 06:30:00,236.9,237.53,236.67,237.52,2690.14
2023-06-30 07:00:00,237.51,238.19,236.67,236.73,4376.72
2023-06-30 07:30:00,236.72,239.09,236.7,238.72,6385.79
2023-06-30 08:00:00,238.7,239.35,238.39,239.11,4449.84
2023-06-30 08:30:00,239.13,239.63,238.1,238.77,8898.45
2023-06-30 09:00:00,238.78,238.87,237.94,238.86,6471.87
2023-06-30 09:30:00,238.86,239.46,238.3,238.72,3415.3
2023-06-30 10:00:00,238.67,240.55,238.66,239.77,9932.79
2023-06-30 10:30:00,239.8,240.44,239.34,239.95,5662.85
2023-06-30 11:00:00,239.95,240.41,239.72,239.83,2473.75
2023-06-30 11:30:00,239.84,240.84,239.54,240.59,3112.92
2023-06-30 12:00:00,240.58,241.74,239.85,240.49,10569.7
2023-06-30 12:30:00,240.49,241.34,240.15,241.24,4545.83
2023-06-30 13:00:00,241.24,241.55,240.17,241.09,6850.7
2023-06-30 13:30:00,241.07,241.28,230.17,234.91,91969.97
2023-06-30 14:00:00,234.91,236.46,233.79,235.5,16982.81
2023-06-30 14:30:00,235.5,235.75,234.2,234.59,5624.3
2023-06-30 15:00:00,234.61,235.83,234.36,235.68,3313.47
2023-06-30 15:30:00,235.73,235.77,235.06,235.46,4115.75
2023-06-30 16:00:00,235.47,237.0,234.83,236.78,5788.77
