ts,open,high,low,close,volume
2023-06-25 20:00:00,238.09,239.37,236.67,238.86,16398.97
2023-06-26 00:00:00,238.91,239.45,233.48,236.37,72410.12
2023-06-26 04:00:00,236.37,238.71,234.7,237.69,38590.19
2023-06-26 08:00:00,237.69,238.87,235.65,237.97,39525.53
2023-06-26 12:00:00,237.96,241.36,237.0,238.49,72242.61
2023-06-26 16:00:00,238.48,238.75,233.59,236.38,59479.19
2023-06-26 20:00:00,236.38,236.54,233.26,236.0,21039.31
2023-06-27 00:00:00,235.99,238.33,234.47,237.73,30019.89
2023-06-27 04:00:00,237.74,239.2,236.51,238.75,32387.37
2023-06-27 08:00:00,238.74,240.06,237.75,239.14,28359.56
2023-06-27 12:00:00,239.16,240.92,237.18,237.78,48333.71
2023-06-27 16:00:00,237.77,239.82,237.64,238.71,23916.99
2023-06-27 20:00:00,238.8,239.18,236.78,237.41,23270.79
2023-06-28 00:00:00,237.4,237.51,234.0,235.5,38768.41
2023-06-28 04:00:00,235.49,236.33,230.31,232.61,73005.9
2023-06-28 08:00:00,232.62,234.55,231.6,233.37,46944.0
2023-06-28 12:00:00,233.32,236.52,231.23,235.06,63421.53
2023-06-28 16:00:00,235.05,235.44,220.3,228.16,122485.73
2023-06-28 20:00:00,228.11,232.57,227.17,230.54,48297.45
2023-06-29 00:00:00,230.55,233.86,230.41,233.05,31564.27
2023-06-29 04:00:00,233.06,234.19,232.11,233.38,28421.87
2023-06-29 08:00:00,233.39,235.6,232.92,235.44,35260.09
2023-06-29 12:00:00,235.44,236.78,232.45,233.32,53498.74
2023-06-29 16:00:00,233.31,234.4,232.55,233.89,23355.26
2023-06-29 20:00:00,233.87,234.12,232.22,233.13,16310.62
2023-06-30 00:00:00,233.14,238.53,231.59,236.75,56613.26
2023-06-30 04:00:00,236.76,241.03,236.29,238.72,118730.55
2023-06-30 08:00:00,238.7,240.84,237.94,240.59,44417.77
2023-06-30 12:00:00,240.58,241.74,230.17,235.46,143972.53
2023-06-30 16:00:00,235.47,241.9,234.83,240.57,70341.08
2023-06-30 20:00:00,240.56,241.41,240.17,240.44,20752.91
2023-07-01 00:00:00,240.44,246.1,240.25,241.3,60280.72
2023-07-01 04:00:00,241.29,242.33,239.95,242.04,25673.45
2023-07-01 08:00:00,242.04,244.47,241.9,243.61,36525.42
2023-07-01 12:00:00,243.6,248.92,243.01,247.43,87396.86
2023-07-01 16:00:00,247.42,248.23,245.64,246.43,29767.67
2023-07-01 20:00:00,246.42,249.31,246.42,247.86,18258.26
2023-07-02 00:00:00,247.86,248.69,242.99,243.27,48185.85
2023-07-02 04:00:00,243.26,245.88,242.8,245.63,34079.4
2023-07-02 08:00:00,245.68,246.39,244.57,245.75,20478.5
2023-07-02 12:00:00,245.75,246.51,242.41,246.11,73111.05
2023-07-02 16:00:00,246.11,246.29,243.09,244.7,33026.03
2023-07-02 20:00:00,244.7,247.86,244.43,246.56,34731.25
2023-07-03 00:00:00,246.56,248.83,245.73,248.02,27950.65
2023-07-03 04:00:00,248.01,250.25,246.37,249.45,58422.31
