ts,open,high,low,close,volume
2023-06-26,1898.96,1909.79,1835.23,1858.61,2630094.8
2023-06-27,1858.61,1912.79,1855.11,1890.06,2148159.1
2023-06-28,1890.06,1890.67,1815.49,1828.69,2430843.2
2023-06-29,1828.69,1882.0,1828.25,1852.21,1826925.1
2023-06-30,1852.24,1948.0,1822.48,1933.91,4715581.7
2023-07-01,1933.99,1945.0,1909.09,1924.42,1116854.1
2023-07-02,1924.42,1964.87,1885.0,1937.99,1883517.3
2023-07-03,1937.99,1978.0,1933.57,1955.7,1967541.6
2023-07-04,1955.69,1967.65,1931.39,1936.69,1306374.6
2023-07-05,1936.69,1942.48,1893.67,1910.26,1792508.7
2023-07-06,1910.25,1957.97,1845.59,1845.87,3200603.5
2023-07-07,1845.86,1878.6,1825.0,1871.53,1675224.3
2023-07-08,1871.54,1873.74,1842.01,1865.26,832817.6
2023-07-09,1865.25,1880.0,1856.0,1862.8,996239.6
2023-07-10,1862.8,1906.0,1846.35,1880.6,1780631.7
2023-07-11,1880.61,1892.71,1862.07,1877.99,1360656.3
2023-07-12,1877.99,1902.56,1864.0,1872.16,2054538.8
2023-07-13,1872.17,2017.13,1863.0,2005.19,3887054.1
2023-07-14,2005.2,2030.0,1896.27,1937.32,3081890.2
2023-07-15,1937.31,1946.86,1926.0,1931.19,747206.1
2023-07-16,1931.19,1943.88,1913.09,1922.46,1015697.3
2023-07-17,1922.46,1936.13,1873.03,1911.1,2256835.3
2023-07-18,1911.1,1917.57,1875.39,1897.62,1579104.4
2023-07-19,1897.62,1924.8,1882.01,1888.74,1682970.9
2023-07-20,1888.73,1929.6,1878.0,1891.56,2067237.7
2023-07-21,1891.56,1906.77,1884.61,1891.92,1049157.2
2023-07-22,1891.91,1897.76,1845.0,1866.42,940382.3
2023-07-23,1866.42,1905.0,1858.03,1888.58,1163050.8
2023-07-24,1888.59,1891.38,1830.03,1849.79,1906490.7
2023-07-25,1849.79,1868.88,1845.08,1857.64,1013788.2
2023-07-26,1857.64,1888.03,1848.09,1871.79,1588680.1
2023-07-27,1871.8,1886.1,1855.09,1861.56,1357392.3
2023-07-28,1861.55,1883.35,1856.32,1874.03,1148398.9
2023-07-29,1874.03,1886.96,1869.33,1880.25,572099.5
2023-07-30,1880.24,1885.29,1848.0,1861.97,1129291.0
2023-07-31,1861.97,1878.0,1851.5,1857.01,1200054.9
2023-08-01,1857.0,1876.9,1808.0,1873.38,2578974.1
2023-08-02,1873.39,1879.85,1820.0,1839.61,2066078.3
2023-08-03,1839.61,1859.5,1826.01,1836.11,1471416.9
2023-08-04,1836.1,1851.86,1815.17,1830.67,1519977.9
2023-08-05,1830.67,1839.0,1827.97,1836.42,479212.2
2023-08-06,1836.42,1838.93,1825.82,1830.49,603054.8
2023-08-07,1830.48,1847.3,1798.1,1828.9,2112266.9
2023-08-08,1828.91,1876.93,1826.0,1855.98,1956468.1
2023-08-09,1855.98,1871.99,1846.15,1855.62,1156887.8
2023-08-10,1855.61,1866.19,1846.21,1852.25,1082648.7
2023-08-11,1852.25,1858.47,1838.19,1848.68,937848.4
2023-08-12,1848.69,1854.0,1846.17,1850.42,340462.6
2023-08-13,1850.41,1862.58,1835.01,1841.4,691582.3
2023-08-14,1841.4,1856.5,1835.34,1845.78,1131896.1
2023-08-15,1845.78,1847.48,1813.0,1829.39,1066191.0
2023-08-16,1829.38,1831.96,1796.16,1807.96,1450904.5
2023-08-17,1807.98,1810.82,1466.64,1680.4,5085213.1
2023-08-18,1680.4,1698.32,1637.34,1661.61,2577208.0
2023-08-19,1661.62,1697.49,1654.19,1669.94,1174924.9
2023-08-20,1669.94,1694.99,1661.66,1685.01,936537.1
2023-08-21,1685.01,1688.95,1647.92,1667.59,1491572.5
2023-08-22,1667.59,1669.16,1573.23,1635.16,2373048.2
2023-08-23,1635.16,1706.11,1629.3,1679.44,2331221.5
2023-08-24,1679.43,1683.64,1635.0,1660.8,1399632.5
2023-08-25,1660.8,1677.97,1635.34,1653.73,1560944.0
2023-08-26,1653.73,1655.64,1644.12,1647.21,365029.9
2023-08-27,1647.22,1660.05,1646.3,1658.31,524129.0
2023-08-28,1658.31,1664.75,1618.0,1653.23,1468227.3
2023-08-29,1653.23,1747.0,1640.01,1729.25,2984421.5
2023-08-30,1729.25,1731.11,1695.0,1705.37,1251023.9
2023-08-31,1705.37,1730.0,1628.53,1646.13,2220043.3
2023-09-01,1646.14,1654.49,1601.25,1629.05,1712747.2
2023-09-02,1629.06,1645.97,1628.0,1637.28,574631.0
2023-09-03,1637.28,1648.88,1624.35,1635.9,675554.5
2023-09-04,1635.9,1644.92,1616.19,1630.65,945904.7
2023-09-05,1630.65,1648.65,1609.41,1634.78,1240307.7
2023-09-06,1634.78,1673.49,1608.23,1633.08,1519037.6
2023-09-07,1633.08,1659.86,1623.48,1647.67,1153798.1
2023-09-08,1647.66,1659.19,1616.0,1636.27,1184365.3
2023-09-09,1636.27,1637.72,1630.01,1635.41,300720.6
2023-09-10,1635.41,1635.68,1588.74,1617.04,1299200.3
2023-09-11,1617.05,1619.0,1530.56,1551.96,2800717.7
2023-09-12,1551.96,1627.01,1549.7,1593.21,2554263.0
2023-09-13,1593.2,1619.14,1580.5,1607.4,1573449.3
2023-09-14,1607.4,1644.99,1606.89,1626.32,1745558.5
2023-09-15,1626.33,1654.7,1611.0,1641.18,1185314.0
2023-09-16,1641.18,1653.0,1631.1,1634.4,639090.0
2023-09-17,1634.4,1635.59,1611.3,1622.53,755746.3
2023-09-18,1622.58,1669.0,1600.0,1636.62,1927186.8
2023-09-19,1636.62,1661.26,1626.19,1643.49,1448162.8
2023-09-20,1643.49,1649.54,1603.69,1622.37,1489556.5
2023-09-21,1622.37,1625.72,1565.81,1583.89,1749596.9
2023-09-22,1583.89,1602.9,1576.0,1593.32,931097.8
2023-09-23,1593.32,1598.14,1587.68,1593.74,391126.8
2023-09-24,1593.75,1601.61,1567.84,1580.76,769854.1
2023-09-25,1580.77,1597.75,1562.2,1588.38,1374699.0
2023-09-26,1588.37,1599.79,1579.49,1593.79,923235.4
2023-09-27,1593.8,1634.84,1582.7,1598.64,2014887.7
2023-09-28,1598.64,1668.45,1597.9,1652.88,2266928.9
2023-09-29,1652.88,1688.61,1648.31,1667.41,1815471.5
2023-09-30,1667.4,1695.0,1665.0,1671.32,875885.7
2023-10-01,1671.31,1785.54,1667.66,1734.0,1509027.5
2023-10-02,1734.0,1745.42,1631.0,1662.41,2492759.9
2023-10-03,1662.3,1670.79,1643.0,1657.08,1144433.5
2023-10-04,1657.08,1657.89,1616.0,1646.44,1531632.0
2023-10-05,1646.43,1655.55,1605.0,1612.05,1582431.7
2023-10-06,1612.07,1663.0,1610.92,1644.92,1684281.0
2023-10-07,1644.92,1647.78,1630.0,1634.2,470588.9
2023-10-08,1634.2,1641.5,1616.06,1632.83,915744.2
2023-10-09,1632.83,1636.62,1543.11,1580.1,2682017.6
2023-10-10,1580.01,1594.98,1547.33,1567.94,1706886.9
2023-10-11,1567.92,1578.98,1540.86,1566.77,1857675.2
2023-10-12,1566.78,1568.99,1516.11,1539.6,1842440.2
2023-10-13,1539.61,1576.8,1537.38,1552.28,1389189.9
2023-10-14,1552.29,1562.99,1543.72,1554.77,556668.2
2023-10-15,1554.77,1567.29,1548.5,1557.85,698764.5
2023-10-16,1557.85,1645.0,1554.92,1599.29,3068512.8
2023-10-17,1599.29,1600.73,1550.0,1564.7,1378006.3
2023-10-18,1564.69,1586.0,1555.55,1563.71,1318564.3
2023-10-19,1563.71,1574.99,1540.69,1566.97,1572347.1
2023-10-20,1566.98,1631.05,1560.71,1603.9,2150084.8
2023-10-21,1603.89,1644.84,1592.0,1628.97,1261583.3
2023-10-22,1628.96,1668.98,1620.13,1663.56,1433869.4
2023-10-23,1663.56,1807.75,1656.6,1767.0,4124925.7
2023-10-24,1767.0,1855.0,1756.0,1785.32,4063140.0
2023-10-25,1785.0,1820.0,1760.0,1787.29,2221024.0
2023-10-26,1787.29,1871.0,1760.88,1803.33,3159213.6
2023-10-27,1803.32,1804.05,1741.0,1779.58,1814104.6
2023-10-28,1779.59,1804.0,1768.41,1776.53,861336.1
2023-10-29,1776.53,1812.88,1762.0,1795.47,1042817.9
2023-10-30,1795.47,1832.73,1775.16,1809.01,1975218.6
2023-10-31,1809.01,1820.26,1780.79,1814.71,1722282.1
2023-11-01,1814.72,1860.0,1783.0,1847.28,2717982.6
2023-11-02,1847.28,1874.47,1784.01,1800.86,2348461.5
2023-11-03,1800.87,1834.13,1776.12,1832.44,1798603.8
2023-11-04,1832.44,1871.35,1823.53,1856.15,1179117.0
2023-11-05,1856.16,1914.57,1846.3,1891.72,2746427.1
2023-11-06,1891.72,1915.0,1869.0,1901.0,1926679.9
2023-11-07,1900.99,1907.5,1850.0,1885.14,2385532.4
2023-11-08,1885.14,1905.0,1873.0,1888.61,1351321.7
2023-11-09,1888.61,2132.0,1882.0,2121.23,5931458.8
2023-11-10,2121.04,2137.9,2064.63,2078.15,2704562.8
2023-11-11,2078.15,2090.25,2027.08,2053.68,1961690.8
2023-11-12,2053.67,2068.91,2010.46,2044.98,1440966.8
2023-11-13,2044.98,2118.06,2028.17,2053.83,3226282.4
2023-11-14,2053.95,2064.68,1910.0,1979.1,3062719.0
2023-11-15,1979.11,2063.54,1967.33,2059.08,2222002.6
2023-11-16,2059.08,2091.96,1938.4,1961.81,3255353.6
2023-11-17,1961.81,1991.53,1905.0,1960.46,2302881.4
2023-11-18,1960.45,1971.24,1916.6,1963.02,1213090.4
2023-11-19,1963.03,2016.0,1943.25,2011.94,1353721.7
2023-11-20,2011.95,2068.0,1985.0,2021.35,2698877.7
2023-11-21,2021.34,2034.82,1929.2,1933.42,3400713.7
2023-11-22,1933.16,2093.13,1928.8,2063.34,2680789.7
2023-11-23,2063.34,2089.0,2037.0,2061.43,1677621.5
2023-11-24,2061.44,2133.99,2052.14,2079.6,2434447.2
2023-11-25,2079.59,2090.62,2065.61,2082.62,758083.5
2023-11-26,2082.63,2095.0,2036.0,2062.44,1618958.0
2023-11-27,2062.45,2071.56,1985.2,2027.3,2151454.3
2023-11-28,2027.3,2076.0,1995.46,2048.64,1965285.8
2023-11-29,2048.64,2076.74,2019.04,2029.09,1562805.0
2023-11-30,2029.08,2054.92,2020.5,2051.81,1353133.1
2023-12-01,2051.81,2113.0,2044.7,2087.66,2278311.6
2023-12-02,2087.66,2199.85,2086.5,2165.51,1885864.6
2023-12-03,2165.51,2223.45,2149.36,2193.39,1480079.1
2023-12-04,2193.38,2277.13,2192.1,2243.2,3088759.5
