ts,open,high,low,close,volume
2023-06-26,6.156,6.261,6.003,6.06,4277773.0
2023-06-27,6.06,6.258,6.047,6.199,3083646.0
2023-06-28,6.2,6.205,5.674,5.813,4989473.0
2023-06-29,5.814,6.187,5.787,5.892,4288440.0
2023-06-30,5.893,6.454,5.702,6.312,10833806.0
2023-07-01,6.314,6.527,6.118,6.504,5939025.0
2023-07-02,6.503,6.563,6.332,6.541,7097242.0
2023-07-03,6.54,6.695,6.467,6.631,5732352.0
2023-07-04,6.63,6.63,6.39,6.525,3689115.0
2023-07-05,6.525,6.571,6.212,6.299,3946023.0
2023-07-06,6.3,6.511,6.076,6.078,5258895.0
2023-07-07,6.077,6.223,6.012,6.161,3037834.0
2023-07-08,6.161,6.224,6.091,6.196,2302009.0
2023-07-09,6.198,6.242,6.122,6.148,1717632.0
2023-07-10,6.149,6.303,6.014,6.169,3533519.0
2023-07-11,6.168,6.235,6.12,6.203,2206315.0
2023-07-12,6.204,6.344,6.193,6.251,2824163.0
2023-07-13,6.251,7.176,6.211,7.131,8298732.0
2023-07-14,7.13,7.348,6.681,6.955,11692931.0
2023-07-15,6.955,7.021,6.831,6.917,2818527.0
2023-07-16,6.918,6.923,6.561,6.605,3556887.0
2023-07-17,6.605,7.267,6.437,7.186,10806646.0
2023-07-18,7.187,7.3,6.786,6.913,13909875.0
2023-07-19,6.912,7.049,6.775,6.913,6449127.0
2023-07-20,6.914,8.483,6.884,8.358,59553775.0
2023-07-21,8.359,8.45,8.036,8.129,23704871.0
2023-07-22,8.128,8.38,7.753,7.885,21392705.0
2023-07-23,7.884,8.099,7.815,7.891,8991411.0
2023-07-24,7.891,7.891,7.412,7.587,13000529.0
2023-07-25,7.586,7.644,7.338,7.391,9729052.0
2023-07-26,7.39,7.837,7.27,7.742,12362386.0
2023-07-27,7.74,8.132,7.678,7.989,16240041.0
2023-07-28,7.988,8.09,7.764,7.773,7155542.0
2023-07-29,7.774,7.901,7.724,7.842,3770947.0
2023-07-30,7.844,7.864,7.358,7.556,6796361.0
2023-07-31,7.555,7.716,7.431,7.552,7588367.0
2023-08-01,7.552,7.65,7.28,7.643,9502065.0
2023-08-02,7.642,7.719,7.332,7.35,8725617.0
2023-08-03,7.349,7.414,7.069,7.124,8759502.0
2023-08-04,7.125,7.268,7.008,7.144,9293435.0
2023-08-05,7.144,7.245,7.101,7.23,4553589.0
2023-08-06,7.229,7.275,7.075,7.102,3647931.0
2023-08-07,7.101,7.399,6.94,7.329,9530466.0
2023-08-08,7.329,7.534,7.289,7.458,9385299.0
2023-08-09,7.457,7.918,7.377,7.682,12150367.0
2023-08-10,7.68,7.739,7.558,7.618,7326798.0
2023-08-11,7.619,7.642,7.405,7.492,3559950.0
2023-08-12,7.493,7.539,7.384,7.443,3129422.0
2023-08-13,7.446,7.558,7.312,7.368,3979923.0
2023-08-14,7.369,7.635,7.308,7.412,5935922.0
2023-08-15,7.413,7.433,6.774,7.042,9777139.0
2023-08-16,7.039,7.072,6.59,6.763,9500146.0
2023-08-17,6.765,6.871,5.525,6.185,16536004.0
2023-08-18,6.185,6.285,6.066,6.176,7660532.0
2023-08-19,6.177,6.264,6.112,6.18,2887776.0
2023-08-20,6.18,6.236,6.115,6.218,2202539.0
2023-08-21,6.217,6.257,6.001,6.174,5981685.0
2023-08-22,6.175,6.257,5.86,6.115,6849754.0
2023-08-23,6.114,6.436,6.102,6.352,5395071.0
2023-08-24,6.351,6.366,5.98,6.083,5484128.0
2023-08-25,6.082,6.084,5.911,6.014,5650531.0
2023-08-26,6.014,6.043,5.955,6.004,2872770.0
2023-08-27,6.005,6.045,5.955,6.031,1919112.0
2023-08-28,6.03,6.048,5.851,5.981,5254508.0
2023-08-29,5.981,6.321,5.84,6.195,10774588.0
2023-08-30,6.194,6.201,5.879,5.924,4895200.0
2023-08-31,5.925,6.068,5.728,5.878,8420413.0
2023-09-01,5.876,6.033,5.812,5.939,7502193.0
2023-09-02,5.939,6.001,5.886,5.97,2946698.0
2023-09-03,5.971,6.065,5.948,6.029,3351805.0
2023-09-04,6.029,6.165,5.938,6.014,4606375.0
2023-09-05,6.013,6.154,5.906,6.136,4912064.0
2023-09-06,6.136,6.351,6.092,6.3,9309336.0
2023-09-07,6.3,6.469,6.2,6.385,6001600.0
2023-09-08,6.384,6.402,6.142,6.279,4283981.0
2023-09-09,6.278,6.292,6.155,6.163,2390934.0
2023-09-10,6.163,6.164,5.94,6.017,6074391.0
2023-09-11,6.017,6.036,5.736,5.828,10887290.0
2023-09-12,5.828,6.077,5.807,5.958,7973024.0
2023-09-13,5.96,6.094,5.927,6.017,6515536.0
2023-09-14,6.018,6.215,6.005,6.151,5319370.0
2023-09-15,6.153,6.376,6.099,6.366,3938124.0
2023-09-16,6.365,6.426,6.185,6.279,3779516.0
2023-09-17,6.279,6.279,6.049,6.145,3640140.0
2023-09-18,6.145,6.842,6.095,6.563,21657297.0
2023-09-19,6.562,6.972,6.516,6.845,13656769.0
2023-09-20,6.845,7.047,6.741,6.904,10613509.0
2023-09-21,6.906,6.946,6.606,6.662,8144578.0
2023-09-22,6.664,6.972,6.595,6.956,7103942.0
2023-09-23,6.959,7.229,6.917,7.186,14602333.0
2023-09-24,7.186,7.253,6.946,6.973,11349129.0
2023-09-25,6.973,7.518,6.906,7.489,16491811.0
2023-09-26,7.489,7.575,7.247,7.355,11225461.0
2023-09-27,7.355,7.884,7.271,7.641,17661929.0
2023-09-28,7.641,8.066,7.571,7.809,17121169.0
2023-09-29,7.808,8.081,7.67,7.948,10351691.0
2023-09-30,7.947,8.268,7.936,8.19,14057875.0
2023-10-01,8.191,8.259,7.763,8.054,15593730.0
2023-10-02,8.053,8.099,7.354,7.466,17801410.0
2023-10-03,7.469,7.744,7.365,7.409,11579508.0
2023-10-04,7.408,7.778,7.181,7.669,18500646.0
2023-10-05,7.669,7.796,7.455,7.466,10078399.0
2023-10-06,7.468,7.768,7.43,7.638,8060786.0
2023-10-07,7.638,7.682,7.471,7.525,4614771.0
2023-10-08,7.525,7.948,7.502,7.674,9941333.0
2023-10-09,7.673,7.695,7.134,7.278,12432256.0
2023-10-10,7.278,7.394,7.171,7.261,8465897.0
2023-10-11,7.261,7.432,7.101,7.392,8683269.0
2023-10-12,7.391,7.416,7.107,7.195,7453820.0
