ts,open,high,low,close,volume
2023-06-25 17:00:00,6.219,6.23,6.141,6.187,173830.0
2023-06-25 18:00:00,6.187,6.187,6.121,6.152,155016.0
2023-06-25 19:00:00,6.154,6.159,6.079,6.115,169359.0
2023-06-25 20:00:00,6.116,6.154,6.058,6.084,178722.0
2023-06-25 21:00:00,6.085,6.123,6.075,6.121,51218.0
2023-06-25 22:00:00,6.12,6.158,6.102,6.124,92395.0
2023-06-25 23:00:00,6.124,6.159,6.117,6.156,77554.0
2023-06-26 00:00:00,6.156,6.163,6.077,6.089,163129.0
2023-06-26 01:00:00,6.088,6.114,6.024,6.086,419431.0
2023-06-26 02:00:00,6.086,6.108,6.054,6.101,120548.0
2023-06-26 03:00:00,6.1,6.131,6.092,6.131,121169.0
2023-06-26 04:00:00,6.131,6.141,6.108,6.127,73512.0
2023-06-26 05:00:00,6.126,6.127,6.073,6.119,85917.0
2023-06-26 06:00:00,6.12,6.257,6.095,6.228,385512.0
2023-06-26 07:00:00,6.228,6.249,6.168,6.183,252928.0
2023-06-26 08:00:00,6.182,6.203,6.157,6.198,190551.0
2023-06-26 09:00:00,6.198,6.22,6.177,6.205,79359.0
2023-06-26 10:00:00,6.208,6.212,6.137,6.179,195747.0
2023-06-26 11:00:00,6.179,6.187,6.148,6.153,79986.0
2023-06-26 12:00:00,6.153,6.188,6.128,6.174,154902.0
2023-06-26 13:00:00,6.174,6.252,6.155,6.247,186366.0
2023-06-26 14:00:00,6.247,6.261,6.139,6.174,234983.0
2023-06-26 15:00:00,6.174,6.243,6.157,6.236,137941.0
2023-06-26 16:00:00,6.23,6.234,6.017,6.083,674568.0
2023-06-26 17:00:00,6.083,6.111,6.045,6.073,188889.0
2023-06-26 18:00:00,6.073,6.111,6.061,6.094,105891.0
2023-06-26 19:00:00,6.095,6.106,6.058,6.097,87897.0
2023-06-26 20:00:00,6.096,6.104,6.046,6.073,70525.0
2023-06-26 21:00:00,6.072,6.085,6.021,6.032,98205.0
2023-06-26 22:00:00,6.029,6.109,6.003,6.089,91588.0
2023-06-26 23:00:00,6.088,6.088,6.04,6.06,78229.0
2023-06-27 00:00:00,6.06,6.088,6.047,6.072,78062.0
2023-06-27 01:00:00,6.072,6.161,6.048,6.145,155971.0
2023-06-27 02:00:00,6.146,6.183,6.133,6.18,126075.0
2023-06-27 03:00:00,6.181,6.208,6.169,6.192,112430.0
2023-06-27 04:00:00,6.191,6.213,6.176,6.184,115192.0
2023-06-27 05:00:00,6.184,6.185,6.131,6.152,232310.0
2023-06-27 06:00:00,6.153,6.166,6.119,6.164,104895.0
2023-06-27 07:00:00,6.164,6.253,6.156,6.247,187089.0
2023-06-27 08:00:00,6.249,6.258,6.172,6.181,229638.0
2023-06-27 09:00:00,6.18,6.202,6.162,6.18,116902.0
2023-06-27 10:00:00,6.179,6.251,6.179,6.239,120425.0
2023-06-27 11:00:00,6.238,6.242,6.197,6.229,80512.0
2023-06-27 12:00:00,6.23,6.249,6.216,6.232,63916.0
2023-06-27 13:00:00,6.234,6.236,6.151,6.18,236964.0
2023-06-27 14:00:00,6.181,6.246,6.156,6.181,257469.0
2023-06-27 15:00:00,6.176,6.184,6.08,6.12,192848.0
2023-06-27 16:00:00,6.122,6.248,6.109,6.238,183349.0
2023-06-27 17:00:00,6.238,6.25,6.202,6.24,93969.0
2023-06-27 18:00:00,6.242,6.248,6.21,6.22,55675.0
2023-06-27 19:00:00,6.221,6.247,6.212,6.23,50313.0
2023-06-27 20:00:00,6.228,6.243,6.211,6.22,58158.0
2023-06-27 21:00:00,6.219,6.228,6.192,6.218,69452.0
2023-06-27 22:00:00,6.217,6.224,6.179,6.186,92687.0
2023-06-27 23:00:00,6.183,6.214,6.167,6.199,69345.0
2023-06-28 00:00:00,6.2,6.205,6.104,6.143,223348.0
2023-06-28 01:00:00,6.142,6.167,6.103,6.115,89652.0
2023-06-28 02:00:00,6.114,6.137,6.059,6.075,167296.0
2023-06-28 03:00:00,6.073,6.106,6.07,6.105,80684.0
2023-06-28 04:00:00,6.102,6.11,6.076,6.098,76004.0
2023-06-28 05:00:00,6.097,6.109,6.067,6.109,41101.0
2023-06-28 06:00:00,6.109,6.113,6.054,6.082,97457.0
2023-06-28 07:00:00,6.081,6.132,5.964,5.967,723250.0
2023-06-28 08:00:00,5.972,6.041,5.947,6.037,224793.0
2023-06-28 09:00:00,6.036,6.063,6.016,6.026,118249.0
2023-06-28 10:00:00,6.025,6.034,6.003,6.03,90251.0
2023-06-28 11:00:00,6.031,6.038,5.994,5.997,82796.0
2023-06-28 12:00:00,5.993,6.015,5.951,5.962,235458.0
2023-06-28 13:00:00,5.961,6.005,5.942,5.999,199510.0
2023-06-28 14:00:00,5.998,6.058,5.98,6.012,152103.0
2023-06-28 15:00:00,6.012,6.031,5.994,6.019,103929.0
2023-06-28 16:00:00,6.021,6.033,5.968,5.969,118220.0
2023-06-28 17:00:00,5.969,5.976,5.904,5.911,272999.0
2023-06-28 18:00:00,5.908,5.937,5.895,5.899,117260.0
2023-06-28 19:00:00,5.897,5.929,5.674,5.821,1255389.0
2023-06-28 20:00:00,5.82,5.832,5.78,5.811,162641.0
2023-06-28 21:00:00,5.811,5.842,5.781,5.83,163380.0
2023-06-28 22:00:00,5.829,5.872,5.829,5.86,92704.0
2023-06-28 23:00:00,5.859,5.878,5.805,5.813,100999.0
2023-06-29 00:00:00,5.814,5.838,5.787,5.805,142662.0
2023-06-29 01:00:00,5.805,5.882,5.799,5.824,130744.0
2023-06-29 02:00:00,5.822,5.828,5.795,5.805,147056.0
2023-06-29 03:00:00,5.805,5.842,5.79,5.829,73513.0
2023-06-29 04:00:00,5.829,5.85,5.82,5.85,82265.0
2023-06-29 05:00:00,5.846,5.863,5.838,5.84,107258.0
2023-06-29 06:00:00,5.841,5.855,5.827,5.85,42410.0
2023-06-29 07:00:00,5.848,5.894,5.846,5.883,130981.0
