ts,open,high,low,close,volume
2023-06-25 16:30:00,6.198,6.227,6.184,6.219,69460.0
2023-06-25 17:00:00,6.219,6.23,6.171,6.173,80016.0
2023-06-25 17:30:00,6.175,6.187,6.141,6.187,93814.0
2023-06-25 18:00:00,6.187,6.187,6.121,6.132,124958.0
2023-06-25 18:30:00,6.131,6.156,6.125,6.152,30058.0
2023-06-25 19:00:00,6.154,6.159,6.119,6.12,20766.0
2023-06-25 19:30:00,6.121,6.122,6.079,6.115,148593.0
2023-06-25 20:00:00,6.116,6.154,6.111,6.133,101078.0
2023-06-25 20:30:00,6.129,6.133,6.058,6.084,77644.0
2023-06-25 21:00:00,6.085,6.114,6.075,6.111,36664.0
2023-06-25 21:30:00,6.11,6.123,6.096,6.121,14554.0
2023-06-25 22:00:00,6.12,6.158,6.102,6.148,58702.0
2023-06-25 22:30:00,6.147,6.149,6.119,6.124,33693.0
2023-06-25 23:00:00,6.124,6.144,6.119,6.129,32441.0
2023-06-25 23:30:00,6.128,6.159,6.117,6.156,45113.0
2023-06-26 00:00:00,6.156,6.163,6.1,6.136,80781.0
2023-06-26 00:30:00,6.135,6.151,6.077,6.089,82348.0
2023-06-26 01:00:00,6.088,6.103,6.024,6.103,353853.0
2023-06-26 01:30:00,6.104,6.114,6.079,6.086,65578.0
2023-06-26 02:00:00,6.086,6.108,6.054,6.062,39854.0
2023-06-26 02:30:00,6.06,6.108,6.055,6.101,80694.0
2023-06-26 03:00:00,6.1,6.123,6.092,6.121,74917.0
2023-06-26 03:30:00,6.121,6.131,6.112,6.131,46252.0
2023-06-26 04:00:00,6.131,6.141,6.108,6.111,44232.0
2023-06-26 04:30:00,6.11,6.131,6.11,6.127,29280.0
2023-06-26 05:00:00,6.126,6.127,6.076,6.083,46890.0
2023-06-26 05:30:00,6.083,6.124,6.073,6.119,39027.0
2023-06-26 06:00:00,6.12,6.157,6.095,6.149,56715.0
2023-06-26 06:30:00,6.148,6.257,6.144,6.228,328797.0
2023-06-26 07:00:00,6.228,6.249,6.193,6.196,146540.0
2023-06-26 07:30:00,6.197,6.207,6.168,6.183,106388.0
2023-06-26 08:00:00,6.182,6.192,6.157,6.174,138573.0
2023-06-26 08:30:00,6.173,6.203,6.157,6.198,51978.0
2023-06-26 09:00:00,6.198,6.21,6.177,6.205,46173.0
