ts,open,high,low,close,volume
2023-06-26,16.957,17.124,15.901,16.269,6425403.0
2023-06-27,16.272,16.95,16.135,16.627,4242123.0
2023-06-28,16.63,16.753,15.487,15.976,7986296.0
2023-06-29,15.975,18.289,15.863,17.996,13746358.0
2023-06-30,17.997,20.032,16.864,18.86,22836246.0
2023-07-01,18.86,19.012,17.904,18.695,7270955.0
2023-07-02,18.695,19.755,18.442,19.457,11224931.0
2023-07-03,19.457,19.661,18.86,19.263,6040841.0
2023-07-04,19.263,19.951,19.059,19.137,6170340.0
2023-07-05,19.137,19.38,18.26,18.99,5090406.0
2023-07-06,18.993,20.99,18.816,19.609,15978261.0
2023-07-07,19.604,21.94,19.26,21.497,22389446.0
2023-07-08,21.499,22.485,21.32,21.809,18144765.0
2023-07-09,21.81,22.4,21.0,21.326,10619987.0
2023-07-10,21.326,21.794,20.463,21.292,12581085.0
2023-07-11,21.293,22.39,21.188,22.067,10997969.0
2023-07-12,22.062,22.946,21.756,21.948,11585279.0
2023-07-13,21.947,26.891,21.416,26.024,26271165.0
2023-07-14,26.019,33.0,25.217,26.664,30815367.0
2023-07-15,26.665,29.1,26.442,27.458,19229691.0
2023-07-16,27.46,28.679,26.4,27.412,12389577.0
2023-07-17,27.411,28.489,25.58,26.794,15730299.0
2023-07-18,26.794,27.102,24.741,25.555,12259215.0
2023-07-19,25.555,26.995,25.35,26.304,10157998.0
2023-07-20,26.307,27.38,25.023,25.38,9845692.0
2023-07-21,25.378,26.0,25.043,25.503,6013275.0
2023-07-22,25.503,25.98,23.979,24.526,5796909.0
2023-07-23,24.521,25.256,24.146,24.755,4728921.0
2023-07-24,24.756,24.838,22.852,23.365,8953244.0
2023-07-25,23.365,23.589,22.72,23.274,5790530.0
2023-07-26,23.277,25.693,23.174,25.172,13268491.0
2023-07-27,25.173,25.665,24.662,25.095,9068045.0
2023-07-28,25.095,25.569,24.52,24.811,6135141.0
2023-07-29,24.815,25.392,24.748,25.169,3695720.0
2023-07-30,25.169,25.217,23.5,24.252,5818087.0
2023-07-31,24.251,24.774,23.497,23.731,5617931.0
2023-08-01,23.731,24.077,22.782,24.058,8135932.0
2023-08-02,24.059,24.285,22.802,23.149,7314252.0
2023-08-03,23.15,23.396,22.447,22.641,6708604.0
2023-08-04,22.642,23.556,22.458,22.808,7289661.0
2023-08-05,22.808,22.94,22.215,22.658,4279081.0
2023-08-06,22.658,23.477,22.581,23.193,5161548.0
2023-08-07,23.193,23.676,22.306,23.117,6368809.0
2023-08-08,23.116,24.797,23.021,24.216,7921356.0
2023-08-09,24.216,25.0,24.104,24.391,7015573.0
2023-08-10,24.39,24.892,24.136,24.626,5632946.0
2023-08-11,24.628,24.935,24.353,24.623,5186478.0
2023-08-12,24.624,25.32,24.394,24.913,3797730.0
2023-08-13,24.914,24.959,24.222,24.227,4598856.0
2023-08-14,24.229,25.314,24.054,25.185,6974518.0
2023-08-15,25.186,25.5,23.671,23.905,9667600.0
2023-08-16,23.904,24.026,22.333,22.823,9922755.0
2023-08-17,22.824,23.437,19.609,21.666,15076493.0
2023-08-18,21.661,22.2,20.897,21.342,8883713.0
2023-08-19,21.345,22.178,21.285,21.893,4342267.0
2023-08-20,21.893,22.03,21.561,21.771,3288599.0
2023-08-21,21.773,21.779,20.27,21.196,9135594.0
2023-08-22,21.192,21.276,19.124,20.584,9262533.0
2023-08-23,20.582,21.819,20.303,21.721,9240944.0
2023-08-24,21.722,22.0,20.659,21.052,7888002.0
2023-08-25,21.052,21.056,20.088,20.414,6825272.0
2023-08-26,20.415,20.45,20.179,20.283,2442896.0
2023-08-27,20.283,20.918,20.244,20.792,3498809.0
2023-08-28,20.792,20.792,20.018,20.553,4903827.0
2023-08-29,20.554,22.054,20.111,21.78,10739436.0
2023-08-30,21.783,22.016,20.591,20.817,5750621.0
2023-08-31,20.817,21.089,19.379,19.733,8045090.0
2023-09-01,19.733,19.931,19.017,19.325,6565208.0
2023-09-02,19.325,19.705,19.1,19.491,4739208.0
2023-09-03,19.492,19.658,19.224,19.563,3229275.0
2023-09-04,19.566,20.047,19.151,19.525,5628141.0
2023-09-05,19.526,20.596,19.035,20.266,10419998.0
2023-09-06,20.267,20.392,19.132,19.626,9068246.0
2023-09-07,19.625,19.995,19.331,19.909,5830594.0
2023-09-08,19.907,20.312,19.352,19.606,5994935.0
2023-09-09,19.605,19.609,19.365,19.441,2149965.0
2023-09-10,19.442,19.442,17.745,18.227,17097160.0
2023-09-11,18.227,18.484,17.342,17.727,19038600.0
2023-09-12,17.724,18.85,17.562,17.913,18546156.0
2023-09-13,17.91,19.02,17.689,18.399,14285235.0
2023-09-14,18.396,19.33,18.38,18.84,14168110.0
2023-09-15,18.842,19.522,18.551,19.149,7543743.0
2023-09-16,19.149,19.469,18.851,19.121,5208344.0
2023-09-17,19.121,19.134,18.617,18.807,4285683.0
2023-09-18,18.81,20.158,18.58,19.64,11113511.0
2023-09-19,19.638,20.412,19.567,20.021,8106651.0
2023-09-20,20.022,20.545,19.787,20.289,8470112.0
2023-09-21,20.29,20.3,19.284,19.449,7438282.0
